Volcano Number,Volcano Name,Country,Volcanic Region Group,Volcanic Region,Volcano Landform,Primary Volcano Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (m),Tectonic Setting,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
283001,Abu,Japan,Western Pacific Volcanic Regions,Nankai Volcanic Arc,Cluster,Volcanic field,Eruption Dated,-6850,34.4833,131.5167,641,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,3597,9594,117805,4071152
355096,Acamarachi,Chile,South America Volcanic Regions,Central Andean Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,-23.292,-67.618,6023,Subduction zone / Continental crust (>25 km),Dacite,Andesite / Basaltic Andesite, , , , , , , , ,0,7,294,9092
342080,Acatenango,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1972,14.501,-90.876,3976,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Dacite, , , ,Basalt / Picro-Basalt, , , , ,4329,60730,1042836,7634778
321040,Adams,United States,North America Volcanic Regions,High Cascades Volcanic Arc,Composite,Stratovolcano,Eruption Dated,950,46.206,-121.49,3742,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , ,Dacite, , , , ,0,70,4019,393303
283170,Adatarayama,Japan,Northwest Pacific Volcanic Regions,Northeast Japan Volcanic Arc,Composite,Stratovolcano(es),Eruption Observed,1996,37.647,140.281,1728,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite,Basalt / Picro-Basalt, , , ,428,3936,717078,5024654
221170,Adwa,Ethiopia,Eastern Africa Volcanic Regions,Main Ethiopian Rift Volcanic Province,Composite,Stratovolcano,Evidence Credible,Unknown,10.063,40.831,1670,Rift zone / Intermediate crust (15-25 km),Rhyolite,Basalt / Picro-Basalt,Trachyte / Trachydacite, , , , , , , ,101,485,18645,1242922
221110,Afdera,Ethiopia,Eastern Africa Volcanic Regions,Afar Rift Volcanic Province,Composite,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rift zone / Intermediate crust (15-25 km),Rhyolite, , , , ,Basalt / Picro-Basalt,Trachybasalt / Tephrite Basanite,Andesite / Basaltic Andesite, , ,51,6042,8611,161009
284160,Agrigan,United States,Northwest Pacific Volcanic Regions,Mariana Volcanic Arc,Composite,Stratovolcano,Eruption Observed,1917,18.77,145.67,965,Subduction zone / Crustal thickness unknown,Basalt / Picro-Basalt,Andesite / Basaltic Andesite, , , , , , , , ,0,0,0,0
342100,Agua,Guatemala,Middle America-Caribbean Volcanic Regions,Central America Volcanic Arc,Composite,Stratovolcano,Evidence Credible,Unknown,14.465,-90.743,3760,Subduction zone / Continental crust (>25 km),Andesite / Basaltic Andesite, , , , ,Dacite, , , , ,9890,114404,2530449,7441660
382090,Agua de Pau,Portugal,Atlantic Ocean Volcanic Regions,Azores-Terceira Rift Volcanic Province,Composite,Stratovolcano,Eruption Observed,1564,37.77,-25.47,947,Rift zone / Oceanic crust (< 15 km),Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite,Basalt / Picro-Basalt,Trachyandesite / Basaltic Trachyandesite, , , , , , ,406,17272,113131,119653
